band,seed,topo,n_static_ep,n_change_ep,network_size,network_size_fixed,ownable_count,ownable_count_fixed,root_owned_static,cost,mechanical,behavioural_residual,conquest,relative_fragility,source,degree,population,n_mech_removal_episodes
30-40,200,50.0,36,60,33,True,28,True,21.25,2.8000000000000007,0.7333333333333333,2.0666666666666678,0.7589285714285714,0.0972549019607843,main_study,20.303030303030305,,
30-40,200,64.0,35,60,33,True,30,True,24.62857142857143,3.2619047619047628,1.55,1.7119047619047627,0.820952380952381,0.0695088940448569,main_study,19.818181818181817,,
30-40,200,92.0,24,30,30,True,28,True,24.95833333333333,4.691666666666666,2.1666666666666665,2.525,0.8913690476190476,0.1011686143572621,main_study,16.366666666666667,,
30-40,300,15.0,78,39,36,True,35,True,23.17948717948718,4.564102564102562,1.2564102564102564,3.3076923076923057,0.6622710622710622,0.1426991150442477,main_study,26.194444444444443,,
30-40,300,19.0,60,30,31,True,29,True,21.166666666666668,2.700000000000003,1.4333333333333331,1.2666666666666695,0.7298850574712644,0.0598425196850395,main_study,22.322580645161292,,
30-40,300,3.0,60,36,32,True,29,True,24.016666666666666,3.405555555555555,1.3333333333333333,2.072222222222222,0.8281609195402299,0.0862826740689336,main_study,21.46875,,
30-40,300,32.0,41,30,33,True,30,True,21.463414634146343,2.1300813008130106,1.1,1.0300813008130103,0.7154471544715447,0.0479924242424243,main_study,23.696969696969695,,
30-40,300,44.0,30,42,34,True,32,True,23.03333333333333,7.819047619047621,1.5,6.3190476190476215,0.7197916666666667,0.2743436014058301,main_study,25.058823529411764,,
30-40,300,50.0,36,30,33,True,28,True,18.38888888888889,4.488888888888889,0.8,3.688888888888889,0.6567460317460317,0.2006042296072507,main_study,20.303030303030305,,
30-40,300,64.0,54,60,33,True,30,True,24.24074074074074,4.874074074074073,1.7,3.174074074074073,0.8080246913580247,0.1309396485867073,main_study,19.818181818181817,,
30-40,300,92.0,41,53,30,True,28,True,22.414634146341463,7.754256787850897,1.3773584905660377,6.37689829728486,0.8005226480836237,0.2844970948734268,main_study,16.366666666666667,,
80-100,42,10.0,72,30,84,True,78,True,29.13888888888889,1.8055555555555567,0.4333333333333333,1.3722222222222238,0.3735754985754986,0.0470924690181125,main_study,63.07142857142857,,
80-100,42,100.0,24,48,88,True,83,True,32.083333333333336,0.9583333333333356,0.4791666666666667,0.479166666666669,0.3865461847389558,0.014935064935065,main_study,54.5,,
80-100,42,17.0,53,41,92,True,80,True,32.83018867924528,2.5375057524160134,0.0975609756097561,2.439944776806257,0.410377358490566,0.0743201569946733,main_study,56.619565217391305,,
80-100,42,18.0,60,65,95,True,92,True,28.133333333333333,2.5487179487179468,0.5538461538461539,1.994871794871793,0.3057971014492753,0.0709077652205613,main_study,59.95789473684211,,
80-100,42,2.0,30,78,84,True,76,True,29.366666666666667,-0.5435897435897417,0.3333333333333333,-0.8769230769230749,0.3864035087719298,-0.0298611717453941,main_study,50.94047619047619,,
80-100,42,5.0,36,42,85,True,78,True,19.36111111111111,-0.8293650793650791,0.3571428571428571,-1.1865079365079363,0.2482193732193732,-0.0612830498052879,main_study,59.247058823529414,,
80-100,42,67.0,66,48,80,True,73,True,30.33333333333333,3.1666666666666643,0.4791666666666667,2.687499999999998,0.4155251141552511,0.088598901098901,main_study,42.4625,,
80-100,42,90.0,59,48,83,True,79,True,27.966101694915253,1.0911016949152526,0.8125,0.2786016949152525,0.3540012872774082,0.0099621212121211,main_study,50.63855421686747,,
80-100,100,10.0,47,53,84,True,78,True,32.1063829787234,2.2007226013649124,0.5471698113207547,1.6535527900441576,0.411620294599018,0.0515023069132375,main_study,63.07142857142857,,
